name;year;class_year
5.º A;2023;5
5.º C;2023;5
5.º B;2023;5
6.º A;2023;6
6.º C;2023;6
6.º B;2023;6
7.º B;2023;7
7.º A;2023;7
7.º D;2023;7
7.º C;2023;7
7.º 1;2023;7
7.º 3;2023;7
7.º 4;2023;7
7.º 2;2023;7
8.º B;2023;8
8.º C;2023;8
8.º A;2023;8
8.º 2;2023;8
8.º 3;2023;8
8.º 1;2023;8
8.º 4;2023;8
9.º B;2023;9
9.º C;2023;9
9.º D;2023;9
9.º 4;2023;9
9.º A;2023;9
9.º 2;2023;9
9.º 1;2023;9
9.º 3;2023;9
9.º 5;2023;9
10.º 9;2023;10
10.º 15;2023;10
10.º 14;2023;10
10.º 1;2023;10
10.º 16;2023;10
10.º 7;2023;10
10.º 12;2023;10
10.º 6;2023;10
10.º 5;2023;10
10.º 2;2023;10
10.º 10;2023;10
10.º 8;2023;10
10.º 3;2023;10
10.º 11;2023;10
10.º 4;2023;10
10.º 13;2023;10
11.º 11;2023;11
11.º 13;2023;11
11.º 14;2023;11
11.º 10;2023;11
11.º 15;2023;11
11.º 8;2023;11
11.º 5;2023;11
11.º 2;2023;11
11.º 1;2023;11
11.º 4;2023;11
11.º 12;2023;11
11.º 3;2023;11
11.º 9;2023;11
11.º 7;2023;11
11.º 6;2023;11
12.º 8;2023;12
12.º 14;2023;12
12.º 3;2023;12
12.º 15;2023;12
12.º 13;2023;12
12.º 12;2023;12
12.º 7;2023;12
12.º 2;2023;12
12.º 16;2023;12
12.º 1;2023;12
12.º 5;2023;12
12.º 4;2023;12
12.º 6;2023;12
12.º 9;2023;12
12.º 11;2023;12
12.º 10;2023;12
